               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.045649,            0.037622,           0.0027845,             0.68963,              0.8913,              0.8489,             0.41789,            0.045301,            0.026782,           0.0012638,           0.0023974,           0.0023974,            0.027697
                  68,            0.039706,            0.037048,           0.0031723,             0.91252,             0.98903,             0.96405,             0.58001,            0.028987,            0.026117,           0.0013756,           0.0023413,           0.0023413,            0.026541
                  69,             0.04064,             0.03929,           0.0030641,             0.89745,             0.94534,             0.93142,             0.54744,             0.03348,            0.025608,           0.0015257,           0.0022844,           0.0022844,            0.025384
                  70,            0.040481,            0.037069,           0.0032111,             0.90649,             0.96729,             0.95719,             0.56986,            0.030502,            0.024936,           0.0014055,           0.0022269,           0.0022269,            0.024227
                  71,            0.038044,            0.034364,            0.002983,             0.89287,             0.98913,             0.96061,             0.61221,            0.028279,            0.024219,           0.0013904,           0.0021689,           0.0021689,            0.023069
                  72,            0.040584,            0.033706,           0.0029384,             0.91122,             0.96728,               0.955,             0.48836,            0.037586,            0.026491,           0.0014111,           0.0021105,           0.0021105,            0.021911
                  73,             0.04108,            0.035058,           0.0024686,             0.92762,             0.96738,             0.96615,             0.56708,            0.029336,            0.025107,           0.0013082,           0.0020521,           0.0020521,            0.020752
                  74,            0.041927,            0.036567,            0.002639,             0.91994,             0.95666,             0.96969,             0.61855,            0.027491,            0.023871,           0.0013989,           0.0019937,           0.0019937,            0.019594
                  75,            0.036323,            0.033485,           0.0027359,             0.91954,             0.95652,             0.96074,             0.60402,            0.028117,            0.024747,           0.0014133,           0.0019355,           0.0019355,            0.018436
                  76,            0.036517,            0.032648,           0.0031607,             0.85595,             0.95652,             0.95063,             0.50681,            0.035607,            0.023784,           0.0011986,           0.0018778,           0.0018778,            0.017278
                  77,            0.040723,            0.033256,           0.0027564,             0.91117,             0.91271,             0.95805,             0.65667,             0.02606,            0.023413,           0.0012472,           0.0018207,           0.0018207,            0.016121
                  78,            0.039674,            0.033885,           0.0024861,             0.77979,             0.90922,              0.9005,             0.47266,            0.034099,            0.024132,           0.0013046,           0.0017644,           0.0017644,            0.014964
                  79,             0.04206,            0.032379,           0.0028197,             0.93636,             0.95652,             0.97386,             0.65665,            0.028626,             0.02401,           0.0014728,            0.001709,            0.001709,            0.013809
                  80,            0.038176,            0.032601,           0.0023469,             0.90339,             0.94565,             0.95076,             0.47629,             0.03622,             0.02592,           0.0014681,           0.0016549,           0.0016549,            0.012655
                  81,            0.039657,            0.038279,           0.0027362,             0.92472,             0.96736,             0.95263,             0.60836,            0.029399,             0.02437,           0.0012392,           0.0016021,           0.0016021,            0.011502
                  82,            0.041136,            0.034775,           0.0024026,             0.93443,             0.96739,             0.97053,             0.57961,            0.030288,            0.023713,           0.0011744,           0.0015509,           0.0015509,            0.010351
                  83,            0.042041,            0.037208,           0.0025079,             0.93654,             0.95652,             0.96441,             0.65482,            0.027268,            0.024053,           0.0011731,           0.0015014,           0.0015014,           0.0092014
                  84,            0.034052,            0.035165,            0.002591,             0.92678,             0.95652,             0.96104,             0.62013,            0.026608,            0.023562,           0.0010733,           0.0014539,           0.0014539,           0.0080539
                  85,            0.034961,            0.033544,           0.0028204,             0.93737,             0.96716,             0.97145,             0.58075,            0.027801,            0.024564,           0.0010313,           0.0014085,           0.0014085,           0.0069085
                  86,            0.034243,            0.032326,           0.0024666,             0.93687,             0.96737,             0.97453,             0.57756,            0.027392,            0.023752,           0.0010168,           0.0013654,           0.0013654,           0.0057654
                  87,            0.034752,            0.034209,           0.0024074,             0.93136,             0.94564,             0.96929,             0.64983,            0.026747,            0.024522,          0.00098578,           0.0013249,           0.0013249,           0.0046249
                  88,            0.032499,            0.034292,            0.002337,             0.89477,             0.96739,              0.9541,             0.60124,            0.029429,            0.025416,           0.0010293,           0.0012871,           0.0012871,           0.0034871
                  89,            0.034072,            0.032815,           0.0019645,             0.93505,             0.95652,             0.97131,             0.62641,            0.026094,            0.024004,           0.0010494,           0.0012521,           0.0012521,           0.0023521
                  90,            0.036704,            0.032075,           0.0023802,             0.92354,             0.95646,             0.96988,             0.60527,            0.027642,            0.023136,           0.0010105,           0.0012202,           0.0012202,           0.0012202
                  91,            0.036638,            0.033591,           0.0017288,             0.94187,             0.95621,             0.97956,             0.63517,            0.024641,             0.02304,           0.0010258,           0.0012202,           0.0012202,           0.0012202
                  92,             0.03177,            0.030288,           0.0017519,             0.95403,             0.96739,             0.98325,             0.65149,            0.024499,            0.023237,          0.00095765,           0.0011787,           0.0011787,           0.0011787
                  93,            0.034434,            0.032647,           0.0018719,             0.91564,             0.94565,             0.95824,             0.66501,            0.024404,            0.023376,          0.00090295,           0.0011414,           0.0011414,           0.0011414
                  94,            0.033946,            0.037309,           0.0020171,             0.90695,             0.96739,             0.96491,             0.64173,             0.02786,            0.024458,          0.00090812,           0.0011084,           0.0011084,           0.0011084
                  95,            0.035391,            0.033711,           0.0019504,             0.94203,             0.94565,              0.9696,             0.66245,            0.024171,            0.022662,          0.00089368,           0.0010797,           0.0010797,           0.0010797
                  96,            0.031858,            0.035057,           0.0016751,             0.90197,             0.98913,              0.9687,             0.64066,            0.027274,            0.024555,          0.00088407,           0.0010554,           0.0010554,           0.0010554
                  97,             0.03133,            0.032827,           0.0024043,             0.92648,             0.95495,             0.96511,             0.70126,            0.024053,            0.023945,          0.00085429,           0.0010355,           0.0010355,           0.0010355
                  98,            0.032896,            0.031959,           0.0017991,             0.91765,             0.95656,             0.96248,             0.68851,            0.024793,            0.024308,          0.00081773,             0.00102,             0.00102,             0.00102
                  99,             0.03423,            0.033766,           0.0019972,             0.90019,             0.97826,             0.96568,             0.67955,            0.024374,            0.023961,          0.00080283,           0.0010089,           0.0010089,           0.0010089
